
> debate-me@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.68.57:3000
- Environments: .env
✓ Ready in 240ms

    at performUnitOfWork (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9557:28)
    at workLoopConcurrentByScheduler (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9551:58)
    at renderRootConcurrent (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9534:71)
    at performWorkOnRoot (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:9061:150)
    at performWorkOnRootViaSchedulerTask (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:10255:9)
    at MessagePort.performWorkUntilDeadline (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js:2647:64) (file:///Users/jacksmithson/Downloads/Smoke and Mirrors Project/.next/dev/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js:3439:25)
 PUT /api/inngest 404 in 32ms (next.js: 1371µs, application-code: 31ms)
 PUT /api/inngest 404 in 19ms (next.js: 1037µs, application-code: 18ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1102µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1169µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 977µs, application-code: 13ms)
 PUT /api/inngest 404 in 30ms (next.js: 1245µs, application-code: 29ms)
 PUT /api/inngest 404 in 14ms (next.js: 992µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1098µs, application-code: 13ms)
 PUT /api/inngest 404 in 28ms (next.js: 1665µs, application-code: 26ms)
 PUT /api/inngest 404 in 15ms (next.js: 915µs, application-code: 14ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 18ms (next.js: 1867µs, application-code: 17ms)
 PUT /api/inngest 404 in 31ms (next.js: 1127µs, application-code: 30ms)
 PUT /api/inngest 404 in 15ms (next.js: 973µs, application-code: 14ms)
 PUT /api/inngest 404 in 13ms (next.js: 1058µs, application-code: 12ms)
 PUT /api/inngest 404 in 16ms (next.js: 1246µs, application-code: 15ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 16ms (next.js: 1110µs, application-code: 15ms)
 PUT /api/inngest 404 in 13ms (next.js: 1037µs, application-code: 12ms)
 PUT /api/inngest 404 in 12ms (next.js: 950µs, application-code: 11ms)
 PUT /api/inngest 404 in 29ms (next.js: 1306µs, application-code: 28ms)
 PUT /api/inngest 404 in 16ms (next.js: 1081µs, application-code: 15ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 15ms (next.js: 1272µs, application-code: 13ms)
 PUT /api/inngest 404 in 13ms (next.js: 1099µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 1324µs, application-code: 12ms)
 PUT /api/inngest 404 in 12ms (next.js: 1126µs, application-code: 11ms)
 PUT /api/inngest 404 in 16ms (next.js: 961µs, application-code: 15ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 13ms (next.js: 1117µs, application-code: 12ms)
 PUT /api/inngest 404 in 12ms (next.js: 1091µs, application-code: 11ms)
 PUT /api/inngest 404 in 13ms (next.js: 900µs, application-code: 12ms)
 PUT /api/inngest 404 in 16ms (next.js: 1159µs, application-code: 15ms)
 PUT /api/inngest 404 in 14ms (next.js: 971µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1527µs, application-code: 12ms)
 PUT /api/inngest 404 in 15ms (next.js: 1248µs, application-code: 14ms)
 PUT /api/inngest 404 in 20ms (next.js: 1023µs, application-code: 19ms)
 PUT /api/inngest 404 in 13ms (next.js: 1231µs, application-code: 12ms)
 PUT /api/inngest 404 in 14ms (next.js: 988µs, application-code: 13ms)
 PUT /api/inngest 404 in 15ms (next.js: 1135µs, application-code: 14ms)
 PUT /api/inngest 404 in 13ms (next.js: 1000µs, application-code: 12ms)
 PUT /api/inngest 404 in 16ms (next.js: 1216µs, application-code: 15ms)
 PUT /api/inngest 404 in 14ms (next.js: 981µs, application-code: 13ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1412µs, application-code: 13ms)
 PUT /api/inngest 404 in 13ms (next.js: 1002µs, application-code: 12ms)
 PUT /api/inngest 404 in 15ms (next.js: 1037µs, application-code: 14ms)
 PUT /api/inngest 404 in 18ms (next.js: 1436µs, application-code: 17ms)
 PUT /api/inngest 404 in 14ms (next.js: 1276µs, application-code: 13ms)
 PUT /api/inngest 404 in 16ms (next.js: 4ms, application-code: 13ms)
 PUT /api/inngest 404 in 17ms (next.js: 1525µs, application-code: 15ms)
 PUT /api/inngest 404 in 18ms (next.js: 1284µs, application-code: 17ms)
 PUT /api/inngest 404 in 21ms (next.js: 1618µs, application-code: 20ms)
 POST /api/inngest?fnId=testr-branch-poll&stepId=step 404 in 14ms (next.js: 1156µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1338µs, application-code: 13ms)
 PUT /api/inngest 404 in 14ms (next.js: 1133µs, application-code: 13ms)
